job_id,encoder,sequence,config,qp,frames_encoded,bitrate_kbps,psnr_y_db,psnr_u_db,psnr_v_db,enc_time_sec
0044_vtm_BlowingBubbles_AI_QP37,vtm,BlowingBubbles,AI,37,8,181.7,31.1716,35.6303,36.6405,47.308
0045_vtm_BlowingBubbles_RA_QP22,vtm,BlowingBubbles,RA,22,64,1419.7438,38.4836,41.6847,43.4181,791.882
0046_vtm_BlowingBubbles_RA_QP27,vtm,BlowingBubbles,RA,27,64,648.1438,35.2824,39.1058,40.6702,580.532
0047_vtm_BlowingBubbles_RA_QP32,vtm,BlowingBubbles,RA,32,64,314.8,32.3737,37.0753,38.4816,394.131
0048_vtm_BlowingBubbles_RA_QP37,vtm,BlowingBubbles,RA,37,64,157.0,29.7605,35.3422,36.6163,246.695
0049_ecm_BasketballDrill_AI_QP22,ecm,BasketballDrill,AI,22,8,1922.9125,43.2586,44.8532,46.2088,2735.739
0050_ecm_BasketballDrill_AI_QP27,ecm,BasketballDrill,AI,27,8,1030.575,40.2145,42.4309,43.3052,2539.227
0051_ecm_BasketballDrill_AI_QP32,ecm,BasketballDrill,AI,32,8,560.8375,37.3377,40.2378,40.8276,1778.425
0052_ecm_BasketballDrill_AI_QP37,ecm,BasketballDrill,AI,37,8,308.4313,34.6251,38.6213,38.9241,1033.903
0053_ecm_BasketballDrill_RA_QP22,ecm,BasketballDrill,RA,22,64,2257.7625,42.2555,44.5553,45.5075,21103.091
0054_ecm_BasketballDrill_RA_QP27,ecm,BasketballDrill,RA,27,64,1088.7062,39.3469,42.4792,42.9357,18154.546
0055_ecm_BasketballDrill_RA_QP32,ecm,BasketballDrill,RA,32,64,560.3687,36.4823,40.6678,40.861,13178.503
0056_ecm_BasketballDrill_RA_QP37,ecm,BasketballDrill,RA,37,64,295.1625,33.8465,38.8177,38.7122,8331.925
0057_ecm_BlowingBubbles_AI_QP22,ecm,BlowingBubbles,AI,22,8,1005.6562,42.1265,42.7551,44.2548,906.495
0058_ecm_BlowingBubbles_AI_QP27,ecm,BlowingBubbles,AI,27,8,580.475,38.237,39.5298,40.8388,972.169
0059_ecm_BlowingBubbles_AI_QP32,ecm,BlowingBubbles,AI,32,8,324.5688,34.7784,36.9335,38.0977,786.11
0060_ecm_BlowingBubbles_AI_QP37,ecm,BlowingBubbles,AI,37,8,171.8813,31.5216,35.3867,36.5218,539.594
0061_ecm_BlowingBubbles_RA_QP22,ecm,BlowingBubbles,RA,22,64,1211.725,38.9164,41.8482,43.6324,7688.635
0062_ecm_BlowingBubbles_RA_QP27,ecm,BlowingBubbles,RA,27,64,562.0813,35.7981,39.3543,40.9046,6673.466
0063_ecm_BlowingBubbles_RA_QP32,ecm,BlowingBubbles,RA,32,64,279.7875,32.8592,37.2898,38.5827,4811.314
0064_ecm_BlowingBubbles_RA_QP37,ecm,BlowingBubbles,RA,37,64,144.6063,30.1755,35.4911,36.6169,3139.008
