sequence,run,weighting,qp,frames,bitrate_kbps,y_psnr_db_mse_mean,y_psnr_db_arith_mean,enc_time_sec,total_bits
BQSquare,ctc,plain,32,7,1185.051,34.57232,34.62763,625.809,138256
BQSquare,ctc,plain,37,7,701.623,31.59701,31.63399,445.419,81856
BQSquare,nogbi,plain,22,7,3526.697,41.03961,41.12774,901.513,411448
BQSquare,nogbi,plain,27,7,2038.56,37.93314,38.01009,875.783,237832
BQSquare,nogbi,plain,32,7,1186.56,34.58414,34.64153,631.575,138432
BQSquare,nogbi,plain,37,7,701.623,31.59701,31.63399,444.259,81856
BQSquare,ctc,tid,22,7,1026.647,40.73962,41.15684,911.363,412504
BQSquare,ctc,tid,27,7,518.138,37.93302,38.00539,883.079,238720
BQSquare,ctc,tid,32,7,281.222,34.74436,34.62763,625.809,138256
BQSquare,ctc,tid,37,7,166.124,31.86367,31.63399,445.419,81856
BQSquare,nogbi,tid,22,7,1017.004,40.71617,41.12774,901.513,411448
BQSquare,nogbi,tid,27,7,516.247,37.94437,38.01009,875.783,237832
BQSquare,nogbi,tid,32,7,281.6,34.78484,34.64153,631.575,138432
BQSquare,nogbi,tid,37,7,166.124,31.86367,31.63399,444.259,81856
